Linux 3.10.0-514.el7.x86_64 (localhost.localdomain) 	02/04/2020 	_x86_64_	(48 CPU)

05:06:42 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:06:43 AM     all      0.02      0.00      0.06      0.00      0.00     99.92
05:06:43 AM       0      0.00      0.00      0.00      0.00      0.00    100.00
05:06:43 AM       1      0.00      0.00      0.00      0.00      0.00    100.00
05:06:43 AM       2      0.00      0.00      0.00      0.00      0.00    100.00
05:06:43 AM       3      0.00      0.00      0.00      0.00      0.00    100.00
05:06:43 AM       4      0.00      0.00      0.00      0.00      0.00    100.00
05:06:43 AM       5      0.00      0.00      0.00      0.00      0.00    100.00
05:06:43 AM       6      0.00      0.00      0.00      0.00      0.00    100.00
05:06:43 AM       7      0.00      0.00      0.00      0.00      0.00    100.00
05:06:43 AM       8      0.00      0.00      0.00      0.00      0.00    100.00
05:06:43 AM       9      0.00      0.00      0.00      0.00      0.00    100.00
05:06:43 AM      10      0.00      0.00      0.00      0.00      0.00    100.00
05:06:43 AM      11      0.00      0.00      0.00      0.00      0.00    100.00
05:06:43 AM      12      0.00      0.00      0.00      0.00      0.00    100.00
05:06:43 AM      13      0.00      0.00      0.00      0.00      0.00    100.00
05:06:43 AM      14      0.00      0.00      0.00      0.00      0.00    100.00
05:06:43 AM      15      0.00      0.00      0.00      0.00      0.00    100.00
05:06:43 AM      16      0.00      0.00      0.00      0.00      0.00    100.00
05:06:43 AM      17      0.00      0.00      0.00      0.00      0.00    100.00
05:06:43 AM      18      0.00      0.00      0.00      0.00      0.00    100.00
05:06:43 AM      19      0.00      0.00      1.00      0.00      0.00     99.00
05:06:43 AM      20      0.00      0.00      0.00      0.00      0.00    100.00
05:06:43 AM      21      0.00      0.00      0.00      0.00      0.00    100.00
05:06:43 AM      22      0.00      0.00      0.00      0.00      0.00    100.00
05:06:43 AM      23      0.00      0.00      0.00      0.00      0.00    100.00
05:06:43 AM      24      0.00      0.00      0.00      0.00      0.00    100.00
05:06:43 AM      25      0.00      0.00      1.00      0.00      0.00     99.00
05:06:43 AM      26      0.00      0.00      0.00      0.00      0.00    100.00
05:06:43 AM      27      0.00      0.00      0.00      0.00      0.00    100.00
05:06:43 AM      28      0.00      0.00      0.00      0.00      0.00    100.00
05:06:43 AM      29      0.00      0.00      0.00      0.00      0.00    100.00
05:06:43 AM      30      0.00      0.00      0.00      0.00      0.00    100.00
05:06:43 AM      31      0.00      0.00      0.00      0.00      0.00    100.00
05:06:43 AM      32      0.00      0.00      0.00      0.00      0.00    100.00
05:06:43 AM      33      0.00      0.00      0.00      0.00      0.00    100.00
05:06:43 AM      34      0.00      0.00      0.00      0.00      0.00    100.00
05:06:43 AM      35      0.00      0.00      0.00      0.00      0.00    100.00
05:06:43 AM      36      0.00      0.00      0.00      0.00      0.00    100.00
05:06:43 AM      37      0.00      0.00      0.00      0.00      0.00    100.00
05:06:43 AM      38      0.00      0.00      0.00      0.00      0.00    100.00
05:06:43 AM      39      0.00      0.00      0.00      0.00      0.00    100.00
05:06:43 AM      40      0.00      0.00      0.00      0.00      0.00    100.00
05:06:43 AM      41      0.00      0.00      0.00      0.00      0.00    100.00
05:06:43 AM      42      0.00      0.00      0.00      0.00      0.00    100.00
05:06:43 AM      43      0.00      0.00      0.00      0.00      0.00    100.00
05:06:43 AM      44      0.00      0.00      0.00      0.00      0.00    100.00
05:06:43 AM      45      0.00      0.00      0.00      0.00      0.00    100.00
05:06:43 AM      46      0.00      0.00      0.00      0.00      0.00    100.00
05:06:43 AM      47      0.00      0.00      0.00      0.00      0.00    100.00

05:06:43 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:06:44 AM     all      0.19      0.00      1.09      0.00      0.00     98.72
05:06:44 AM       0      9.09      0.00     50.51      0.00      0.00     40.40
05:06:44 AM       1      0.00      0.00      0.00      0.00      0.00    100.00
05:06:44 AM       2      0.00      0.00      0.00      0.00      0.00    100.00
05:06:44 AM       3      0.00      0.00      0.00      0.00      0.00    100.00
05:06:44 AM       4      0.00      0.00      0.00      0.00      0.00    100.00
05:06:44 AM       5      0.00      0.00      0.00      0.00      0.00    100.00
05:06:44 AM       6      0.00      0.00      0.00      0.00      0.00    100.00
05:06:44 AM       7      0.00      0.00      0.00      0.00      0.00    100.00
05:06:44 AM       8      0.00      0.00      0.00      0.00      0.00    100.00
05:06:44 AM       9      0.00      0.00      0.00      0.00      0.00    100.00
05:06:44 AM      10      0.00      0.00      0.00      0.00      0.00    100.00
05:06:44 AM      11      0.00      0.00      0.00      0.00      0.00    100.00
05:06:44 AM      12      0.00      0.00      0.00      0.00      0.00    100.00
05:06:44 AM      13      0.00      0.00      0.00      0.00      0.00    100.00
05:06:44 AM      14      0.00      0.00      0.00      0.00      0.00    100.00
05:06:44 AM      15      0.00      0.00      0.00      0.00      0.00    100.00
05:06:44 AM      16      0.00      0.00      0.00      0.00      0.00    100.00
05:06:44 AM      17      0.00      0.00      0.00      0.00      0.00    100.00
05:06:44 AM      18      0.00      0.00      0.00      0.00      0.00    100.00
05:06:44 AM      19      0.00      0.00      0.00      0.00      0.00    100.00
05:06:44 AM      20      0.00      0.00      0.00      0.00      0.00    100.00
05:06:44 AM      21      0.00      0.00      0.00      0.00      0.00    100.00
05:06:44 AM      22      0.00      0.00      0.00      0.00      0.00    100.00
05:06:44 AM      23      0.00      0.00      0.00      0.00      0.00    100.00
05:06:44 AM      24      0.00      0.00      0.00      0.00      0.00    100.00
05:06:44 AM      25      0.00      0.00      1.98      0.00      0.00     98.02
05:06:44 AM      26      0.00      0.00      0.00      0.00      0.00    100.00
05:06:44 AM      27      0.00      0.00      0.00      0.00      0.00    100.00
05:06:44 AM      28      0.00      0.00      0.00      0.00      0.00    100.00
05:06:44 AM      29      0.00      0.00      0.00      0.00      0.00    100.00
05:06:44 AM      30      0.00      0.00      0.00      0.00      0.00    100.00
05:06:44 AM      31      0.00      0.00      0.00      0.00      0.00    100.00
05:06:44 AM      32      0.00      0.00      0.00      0.00      0.00    100.00
05:06:44 AM      33      0.00      0.00      0.00      0.00      0.00    100.00
05:06:44 AM      34      0.00      0.00      0.00      0.00      0.00    100.00
05:06:44 AM      35      0.00      0.00      0.00      0.00      0.00    100.00
05:06:44 AM      36      0.00      0.00      0.00      0.00      0.00    100.00
05:06:44 AM      37      0.00      0.00      0.00      0.00      0.00    100.00
05:06:44 AM      38      0.00      0.00      0.00      0.00      0.00    100.00
05:06:44 AM      39      0.00      0.00      0.00      0.00      0.00    100.00
05:06:44 AM      40      0.00      0.00      0.00      0.00      0.00    100.00
05:06:44 AM      41      0.00      0.00      0.00      0.00      0.00    100.00
05:06:44 AM      42      0.00      0.00      0.00      0.00      0.00    100.00
05:06:44 AM      43      0.00      0.00      0.00      0.00      0.00    100.00
05:06:44 AM      44      0.00      0.00      0.00      0.00      0.00    100.00
05:06:44 AM      45      0.00      0.00      0.00      0.00      0.00    100.00
05:06:44 AM      46      0.00      0.00      0.00      0.00      0.00    100.00
05:06:44 AM      47      0.00      0.00      0.00      0.00      0.00    100.00

05:06:44 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:06:45 AM     all      0.40      0.00      1.73      0.00      0.00     97.87
05:06:45 AM       0     18.81      0.00     81.19      0.00      0.00      0.00
05:06:45 AM       1      0.00      0.00      0.00      0.00      0.00    100.00
05:06:45 AM       2      0.00      0.00      0.00      0.00      0.00    100.00
05:06:45 AM       3      0.00      0.00      0.00      0.00      0.00    100.00
05:06:45 AM       4      0.00      0.00      0.00      0.00      0.00    100.00
05:06:45 AM       5      0.00      0.00      0.00      0.00      0.00    100.00
05:06:45 AM       6      0.00      0.00      0.00      0.00      0.00    100.00
05:06:45 AM       7      0.00      0.00      0.00      0.00      0.00    100.00
05:06:45 AM       8      0.00      0.00      0.00      0.00      0.00    100.00
05:06:45 AM       9      0.00      0.00      0.00      0.00      0.00    100.00
05:06:45 AM      10      0.00      0.00      0.00      0.00      0.00    100.00
05:06:45 AM      11      0.00      0.00      0.00      0.00      0.00    100.00
05:06:45 AM      12      0.00      0.00      0.00      0.00      0.00    100.00
05:06:45 AM      13      0.00      0.00      0.00      0.00      0.00    100.00
05:06:45 AM      14      0.00      0.00      0.00      0.00      0.00    100.00
05:06:45 AM      15      0.00      0.00      0.00      0.00      0.00    100.00
05:06:45 AM      16      0.00      0.00      0.00      0.00      0.00    100.00
05:06:45 AM      17      0.00      0.00      0.00      0.00      0.00    100.00
05:06:45 AM      18      0.00      0.00      0.00      0.00      0.00    100.00
05:06:45 AM      19      0.00      0.00      0.00      0.00      0.00    100.00
