Linux 3.10.0-514.el7.x86_64 (localhost.localdomain) 	02/24/2020 	_x86_64_	(48 CPU)

12:07:55 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:07:56 PM     all      0.00      0.00      0.04      0.04      0.00     99.92
12:07:56 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
12:07:56 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
12:07:56 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
12:07:56 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
12:07:56 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
12:07:56 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
12:07:56 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
12:07:56 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
12:07:56 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
12:07:56 PM       9      0.00      0.00      0.00      0.00      0.00    100.00
12:07:56 PM      10      0.00      0.00      0.00      0.00      0.00    100.00
12:07:56 PM      11      0.00      0.00      0.00      0.00      0.00    100.00
12:07:56 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
12:07:56 PM      13      0.00      0.00      0.00      0.00      0.00    100.00
12:07:56 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
12:07:56 PM      15      0.00      0.00      0.00      0.00      0.00    100.00
12:07:56 PM      16      0.00      0.00      0.00      0.00      0.00    100.00
12:07:56 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
12:07:56 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
12:07:56 PM      19      0.00      0.00      0.00      2.02      0.00     97.98
12:07:56 PM      20      0.00      0.00      0.00      0.00      0.00    100.00
12:07:56 PM      21      0.00      0.00      0.00      0.00      0.00    100.00
12:07:56 PM      22      0.00      0.00      0.00      0.00      0.00    100.00
12:07:56 PM      23      0.00      0.00      0.00      0.00      0.00    100.00
12:07:56 PM      24      0.00      0.00      0.00      0.00      0.00    100.00
12:07:56 PM      25      0.00      0.00      1.01      0.00      0.00     98.99
12:07:56 PM      26      0.00      0.00      0.00      0.00      0.00    100.00
12:07:56 PM      27      0.00      0.00      0.00      0.00      0.00    100.00
12:07:56 PM      28      0.00      0.00      0.00      0.00      0.00    100.00
12:07:56 PM      29      0.00      0.00      0.00      0.00      0.00    100.00
12:07:56 PM      30      0.00      0.00      0.00      0.00      0.00    100.00
12:07:56 PM      31      0.00      0.00      0.00      0.00      0.00    100.00
12:07:56 PM      32      0.00      0.00      0.00      0.00      0.00    100.00
12:07:56 PM      33      0.00      0.00      0.00      0.00      0.00    100.00
12:07:56 PM      34      0.00      0.00      0.00      0.00      0.00    100.00
12:07:56 PM      35      0.00      0.00      0.00      0.00      0.00    100.00
12:07:56 PM      36      0.00      0.00      0.00      0.00      0.00    100.00
12:07:56 PM      37      0.00      0.00      0.00      0.00      0.00    100.00
12:07:56 PM      38      0.00      0.00      0.00      0.00      0.00    100.00
12:07:56 PM      39      0.00      0.00      0.00      0.00      0.00    100.00
12:07:56 PM      40      0.00      0.00      0.00      0.00      0.00    100.00
12:07:56 PM      41      0.00      0.00      0.00      0.00      0.00    100.00
12:07:56 PM      42      0.00      0.00      0.00      0.00      0.00    100.00
12:07:56 PM      43      0.00      0.00      0.00      0.00      0.00    100.00
12:07:56 PM      44      0.00      0.00      0.00      0.00      0.00    100.00
12:07:56 PM      45      0.00      0.00      0.00      0.00      0.00    100.00
12:07:56 PM      46      0.00      0.00      0.00      0.00      0.00    100.00
12:07:56 PM      47      0.00      0.00      0.00      0.00      0.00    100.00

12:07:56 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:07:57 PM     all      0.02      0.00      0.23      0.00      0.00     99.75
12:07:57 PM       0      0.99      0.00      8.91      0.00      0.00     90.10
12:07:57 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
12:07:57 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
12:07:57 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
12:07:57 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
